fecha,codigo_municipio,areas
2022-11-16,41001,49
2022-11-16,41101,23
2022-11-16,50101,891
2022-11-16,50102,37
2022-11-16,50103,60
2022-11-16,50104,17
2022-11-16,50301,69
2022-11-16,50302,19
2022-11-16,50303,19
2022-11-16,51101,25
2022-11-16,51102,41
2022-11-16,51201,146
2022-11-16,51202,84
2022-11-16,51203,72
2022-11-16,51401,48
2022-11-16,51402,25
2022-11-16,60101,1175
2022-11-16,60202,43
2022-11-16,60601,13
2022-11-16,70101,2787
2022-11-16,80101,408
2022-11-16,80102,11
2022-11-16,80201,319
2022-11-16,80202,186
2022-11-16,80302,78
2022-11-16,80304,45
2022-11-16,80401,62
2022-11-16,80402,7
2022-11-16,80501,68
2022-11-16,80601,13
2022-11-16,80602,27
2022-11-16,80701,17
2022-11-16,80702,19
2022-11-16,80703,2
2022-11-16,80801,63
2022-11-16,80802,21
2022-11-16,80803,21
2022-11-16,90101,210
2022-11-16,90102,44
2022-11-16,90103,5
2022-11-16,90104,2
2022-11-16,90201,22
2022-11-16,90202,3
2022-11-16,90203,19
2022-11-16,90301,16
2022-11-16,90302,21
2022-11-16,90303,18
2022-11-16,90401,7
2022-11-16,90402,4
2022-11-16,90501,7
2022-11-16,90502,6
2022-11-17,10101,1063
2022-11-17,10501,9
2022-11-17,10701,14
2022-11-17,10801,6
2022-11-17,20101,1911
2022-11-17,20105,1195
2022-11-17,30101,1465
2022-11-17,40101,1386
2022-11-17,40102,68
2022-11-17,40103,23
2022-11-17,40104,48
2022-11-17,40201,37
2022-11-17,40601,20
2022-11-17,40602,33
2022-11-17,40603,10
2022-11-17,40701,84
2022-11-17,40702,31
2022-11-17,41001,49
2022-11-17,41101,23
2022-11-17,41401,3
2022-11-17,50101,891
2022-11-17,50102,37
2022-11-17,50103,60
2022-11-17,50104,17
2022-11-17,50301,70
2022-11-17,50302,20
2022-11-17,50303,22
2022-11-17,51101,25
2022-11-17,51102,41
2022-11-17,51201,146
2022-11-17,51202,84
2022-11-17,51203,72
2022-11-17,51401,48
2022-11-17,51402,25
2022-11-17,60101,1175
2022-11-17,60202,43
2022-11-17,60601,13
2022-11-17,70101,2826
2022-11-17,80101,408
2022-11-17,80102,11
2022-11-17,80201,319
2022-11-17,80202,186
2022-11-17,80302,78
2022-11-17,80304,45
2022-11-17,80401,62
2022-11-17,80402,7
2022-11-17,80501,70
2022-11-17,80601,13
2022-11-17,80602,27
2022-11-17,80701,17
2022-11-17,80702,19
2022-11-17,80703,2
2022-11-17,80801,63
2022-11-17,80802,21
2022-11-17,80803,21
2022-11-17,90101,210
2022-11-17,90102,44
2022-11-17,90103,5
2022-11-17,90104,2
2022-11-17,90201,22
2022-11-17,90202,3
2022-11-17,90203,19
2022-11-17,90301,16
2022-11-17,90302,21
2022-11-17,90303,18
2022-11-17,90401,7
2022-11-17,90402,4
2022-11-17,90501,7
2022-11-17,90502,6
2022-11-18,10101,1064
2022-11-18,10501,9
2022-11-18,10701,31
2022-11-18,10801,6
